Picture,DistortionType,DistortionValue,Filename,Metric,Method,Value
Degus,Blur,0.0,Degus_blur_0.bmp,LPIPS,LPIPS_lpips,0.0
Degus,Blur,0.0,Degus_blur_0.bmp,SSIM,SSIM_skimage,1.0
Degus,Blur,0.0,Degus_blur_0.bmp,PSNR,PSNR_skimage,inf
Degus,Blur,0.0,Degus_blur_0.bmp,UIQI,UIQI_torch,0.9867
Degus,Blur,0.0,Degus_blur_0.bmp,VIF,VIF_Torch,1.0
Degus,Blur,1.0,Degus_blur_1.png,LPIPS,LPIPS_lpips,0.0008994211093522608
Degus,Blur,1.0,Degus_blur_1.png,SSIM,SSIM_skimage,0.8976249494584144
Degus,Blur,1.0,Degus_blur_1.png,PSNR,PSNR_skimage,31.593196054896985
Degus,Blur,1.0,Degus_blur_1.png,UIQI,UIQI_torch,0.6549
Degus,Blur,1.0,Degus_blur_1.png,VIF,VIF_Torch,1.4412
Degus,Blur,10.0,Degus_blur_10.png,LPIPS,LPIPS_lpips,0.36563777923583984
Degus,Blur,10.0,Degus_blur_10.png,SSIM,SSIM_skimage,0.47814219571868605
Degus,Blur,10.0,Degus_blur_10.png,PSNR,PSNR_skimage,22.35737505437789
Degus,Blur,10.0,Degus_blur_10.png,UIQI,UIQI_torch,0.0214
Degus,Blur,10.0,Degus_blur_10.png,VIF,VIF_Torch,6.144
Degus,Blur,12.5,Degus_blur_12_5.png,LPIPS,LPIPS_lpips,0.423417329788208
Degus,Blur,12.5,Degus_blur_12_5.png,SSIM,SSIM_skimage,0.47176504331063024
Degus,Blur,12.5,Degus_blur_12_5.png,PSNR,PSNR_skimage,22.148513271038254
Degus,Blur,12.5,Degus_blur_12_5.png,UIQI,UIQI_torch,0.016
Degus,Blur,12.5,Degus_blur_12_5.png,VIF,VIF_Torch,6.8433
Degus,Blur,15.0,Degus_blur_15.png,LPIPS,LPIPS_lpips,0.4629265069961548
Degus,Blur,15.0,Degus_blur_15.png,SSIM,SSIM_skimage,0.4678360180910435
Degus,Blur,15.0,Degus_blur_15.png,PSNR,PSNR_skimage,21.986124971828872
Degus,Blur,15.0,Degus_blur_15.png,UIQI,UIQI_torch,0.0128
Degus,Blur,15.0,Degus_blur_15.png,VIF,VIF_Torch,7.9189
Degus,Blur,2.0,Degus_blur_2.png,LPIPS,LPIPS_lpips,0.011541439220309258
Degus,Blur,2.0,Degus_blur_2.png,SSIM,SSIM_skimage,0.7464395500595543
Degus,Blur,2.0,Degus_blur_2.png,PSNR,PSNR_skimage,26.93947905145531
Degus,Blur,2.0,Degus_blur_2.png,UIQI,UIQI_torch,0.3465
Degus,Blur,2.0,Degus_blur_2.png,VIF,VIF_Torch,2.3734
Degus,Blur,3.0,Degus_blur_3.png,LPIPS,LPIPS_lpips,0.04448229447007179
Degus,Blur,3.0,Degus_blur_3.png,SSIM,SSIM_skimage,0.626053454078401
Degus,Blur,3.0,Degus_blur_3.png,PSNR,PSNR_skimage,24.858291641326083
Degus,Blur,3.0,Degus_blur_3.png,UIQI,UIQI_torch,0.1827
Degus,Blur,3.0,Degus_blur_3.png,VIF,VIF_Torch,3.3747
Degus,Blur,5.0,Degus_blur_5.png,LPIPS,LPIPS_lpips,0.16062822937965393
Degus,Blur,5.0,Degus_blur_5.png,SSIM,SSIM_skimage,0.524229339674856
Degus,Blur,5.0,Degus_blur_5.png,PSNR,PSNR_skimage,23.31790458930542
Degus,Blur,5.0,Degus_blur_5.png,UIQI,UIQI_torch,0.0676
Degus,Blur,5.0,Degus_blur_5.png,VIF,VIF_Torch,4.6417
Degus,Blur,7.5,Degus_blur_7_5.png,LPIPS,LPIPS_lpips,0.2878529131412506
Degus,Blur,7.5,Degus_blur_7_5.png,SSIM,SSIM_skimage,0.49092004380755183
Degus,Blur,7.5,Degus_blur_7_5.png,PSNR,PSNR_skimage,22.67656730461742
Degus,Blur,7.5,Degus_blur_7_5.png,UIQI,UIQI_torch,0.0339
Degus,Blur,7.5,Degus_blur_7_5.png,VIF,VIF_Torch,5.6337
Degus,Brightness,0.0,Degus_brightness_0.bmp,LPIPS,LPIPS_lpips,0.0
Degus,Brightness,0.0,Degus_brightness_0.bmp,SSIM,SSIM_skimage,1.0
Degus,Brightness,0.0,Degus_brightness_0.bmp,PSNR,PSNR_skimage,inf
Degus,Brightness,0.0,Degus_brightness_0.bmp,UIQI,UIQI_torch,0.9867
Degus,Brightness,0.0,Degus_brightness_0.bmp,VIF,VIF_Torch,1.0
Degus,Brightness,1.02,Degus_brightness_1_02.png,LPIPS,LPIPS_lpips,0.0001971018937183544
Degus,Brightness,1.02,Degus_brightness_1_02.png,SSIM,SSIM_skimage,0.9994259762622525
Degus,Brightness,1.02,Degus_brightness_1_02.png,PSNR,PSNR_skimage,43.247156291040895
Degus,Brightness,1.02,Degus_brightness_1_02.png,UIQI,UIQI_torch,0.9649
Degus,Brightness,1.02,Degus_brightness_1_02.png,VIF,VIF_Torch,0.9633
Degus,Brightness,1.05,Degus_brightness_1_05.png,LPIPS,LPIPS_lpips,0.0007752878591418266
Degus,Brightness,1.05,Degus_brightness_1_05.png,SSIM,SSIM_skimage,0.9982503178272438
Degus,Brightness,1.05,Degus_brightness_1_05.png,PSNR,PSNR_skimage,34.460376750831976
Degus,Brightness,1.05,Degus_brightness_1_05.png,UIQI,UIQI_torch,0.9171
Degus,Brightness,1.05,Degus_brightness_1_05.png,VIF,VIF_Torch,0.9097
Degus,Brightness,1.1,Degus_brightness_1_1.png,LPIPS,LPIPS_lpips,0.0028600816149264574
Degus,Brightness,1.1,Degus_brightness_1_1.png,SSIM,SSIM_skimage,0.9931429561880339
Degus,Brightness,1.1,Degus_brightness_1_1.png,PSNR,PSNR_skimage,28.069406301641095
Degus,Brightness,1.1,Degus_brightness_1_1.png,UIQI,UIQI_torch,0.8509
Degus,Brightness,1.1,Degus_brightness_1_1.png,VIF,VIF_Torch,0.8292
Degus,Brightness,1.2,Degus_brightness_1_2.png,LPIPS,LPIPS_lpips,0.011165391653776169
Degus,Brightness,1.2,Degus_brightness_1_2.png,SSIM,SSIM_skimage,0.9742492478813762
Degus,Brightness,1.2,Degus_brightness_1_2.png,PSNR,PSNR_skimage,21.902436791133823
Degus,Brightness,1.2,Degus_brightness_1_2.png,UIQI,UIQI_torch,0.7495
Degus,Brightness,1.2,Degus_brightness_1_2.png,VIF,VIF_Torch,0.6989
Degus,Brightness,1.5,Degus_brightness_1_5.png,LPIPS,LPIPS_lpips,0.07048342376947403
Degus,Brightness,1.5,Degus_brightness_1_5.png,SSIM,SSIM_skimage,0.8715897388214232
Degus,Brightness,1.5,Degus_brightness_1_5.png,PSNR,PSNR_skimage,15.462378094588306
Degus,Brightness,1.5,Degus_brightness_1_5.png,UIQI,UIQI_torch,0.4476
Degus,Brightness,1.5,Degus_brightness_1_5.png,VIF,VIF_Torch,0.4686
Degus,Brightness,1.75,Degus_brightness_1_75.png,LPIPS,LPIPS_lpips,0.14500875771045685
Degus,Brightness,1.75,Degus_brightness_1_75.png,SSIM,SSIM_skimage,0.782826822688893
Degus,Brightness,1.75,Degus_brightness_1_75.png,PSNR,PSNR_skimage,12.701151690163261
Degus,Brightness,1.75,Degus_brightness_1_75.png,UIQI,UIQI_torch,0.3159
Degus,Brightness,1.75,Degus_brightness_1_75.png,VIF,VIF_Torch,0.3763
Degus,Brightness,2.0,Degus_brightness_2.png,LPIPS,LPIPS_lpips,0.21037572622299194
Degus,Brightness,2.0,Degus_brightness_2.png,SSIM,SSIM_skimage,0.6963376441332105
Degus,Brightness,2.0,Degus_brightness_2.png,PSNR,PSNR_skimage,10.894409666682241
Degus,Brightness,2.0,Degus_brightness_2.png,UIQI,UIQI_torch,0.2039
Degus,Brightness,2.0,Degus_brightness_2.png,VIF,VIF_Torch,0.3214
Degus,Brightness,2.25,Degus_brightness_2_25.png,LPIPS,LPIPS_lpips,0.23855802416801453
Degus,Brightness,2.25,Degus_brightness_2_25.png,SSIM,SSIM_skimage,0.6285442146732844
Degus,Brightness,2.25,Degus_brightness_2_25.png,PSNR,PSNR_skimage,9.936673424353488
Degus,Brightness,2.25,Degus_brightness_2_25.png,UIQI,UIQI_torch,0.1224
Degus,Brightness,2.25,Degus_brightness_2_25.png,VIF,VIF_Torch,0.2829
Degus,Circularblur,0.0,Degus_circularBlur_0.bmp,LPIPS,LPIPS_lpips,0.0
Degus,Circularblur,0.0,Degus_circularBlur_0.bmp,SSIM,SSIM_skimage,1.0
Degus,Circularblur,0.0,Degus_circularBlur_0.bmp,PSNR,PSNR_skimage,inf
Degus,Circularblur,0.0,Degus_circularBlur_0.bmp,UIQI,UIQI_torch,0.9867
Degus,Circularblur,0.0,Degus_circularBlur_0.bmp,VIF,VIF_Torch,1.0
Degus,Circularblur,1.0,Degus_circularBlur_1.png,LPIPS,LPIPS_lpips,0.054981887340545654
Degus,Circularblur,1.0,Degus_circularBlur_1.png,SSIM,SSIM_skimage,0.7044317745023679
Degus,Circularblur,1.0,Degus_circularBlur_1.png,PSNR,PSNR_skimage,24.946987275666437
Degus,Circularblur,1.0,Degus_circularBlur_1.png,UIQI,UIQI_torch,0.3479
Degus,Circularblur,1.0,Degus_circularBlur_1.png,VIF,VIF_Torch,1.3547
Degus,Circularblur,10.0,Degus_circularBlur_10.png,LPIPS,LPIPS_lpips,0.41137993335723877
Degus,Circularblur,10.0,Degus_circularBlur_10.png,SSIM,SSIM_skimage,0.48685766224723803
Degus,Circularblur,10.0,Degus_circularBlur_10.png,PSNR,PSNR_skimage,21.47497488284927
Degus,Circularblur,10.0,Degus_circularBlur_10.png,UIQI,UIQI_torch,0.0496
Degus,Circularblur,10.0,Degus_circularBlur_10.png,VIF,VIF_Torch,2.2548
Degus,Circularblur,2.0,Degus_circularBlur_2.png,LPIPS,LPIPS_lpips,0.1796298325061798
Degus,Circularblur,2.0,Degus_circularBlur_2.png,SSIM,SSIM_skimage,0.6055389925390823
Degus,Circularblur,2.0,Degus_circularBlur_2.png,PSNR,PSNR_skimage,23.385558008075318
Degus,Circularblur,2.0,Degus_circularBlur_2.png,UIQI,UIQI_torch,0.2028
Degus,Circularblur,2.0,Degus_circularBlur_2.png,VIF,VIF_Torch,1.3825
Degus,Circularblur,3.0,Degus_circularBlur_3.png,LPIPS,LPIPS_lpips,0.2420332133769989
Degus,Circularblur,3.0,Degus_circularBlur_3.png,SSIM,SSIM_skimage,0.5620891785733367
Degus,Circularblur,3.0,Degus_circularBlur_3.png,PSNR,PSNR_skimage,22.802629190988526
Degus,Circularblur,3.0,Degus_circularBlur_3.png,UIQI,UIQI_torch,0.1429
Degus,Circularblur,3.0,Degus_circularBlur_3.png,VIF,VIF_Torch,1.4933
Degus,Circularblur,4.0,Degus_circularBlur_4.png,LPIPS,LPIPS_lpips,0.28339168429374695
Degus,Circularblur,4.0,Degus_circularBlur_4.png,SSIM,SSIM_skimage,0.5383892751058326
Degus,Circularblur,4.0,Degus_circularBlur_4.png,PSNR,PSNR_skimage,22.459685126673005
Degus,Circularblur,4.0,Degus_circularBlur_4.png,UIQI,UIQI_torch,0.1116
Degus,Circularblur,4.0,Degus_circularBlur_4.png,VIF,VIF_Torch,1.6139
Degus,Circularblur,5.0,Degus_circularBlur_5.png,LPIPS,LPIPS_lpips,0.31294336915016174
Degus,Circularblur,5.0,Degus_circularBlur_5.png,SSIM,SSIM_skimage,0.5227037573901868
Degus,Circularblur,5.0,Degus_circularBlur_5.png,PSNR,PSNR_skimage,22.21471737439392
Degus,Circularblur,5.0,Degus_circularBlur_5.png,UIQI,UIQI_torch,0.0915
Degus,Circularblur,5.0,Degus_circularBlur_5.png,VIF,VIF_Torch,1.7244
Degus,Circularblur,7.5,Degus_circularBlur_7_5.png,LPIPS,LPIPS_lpips,0.3662538528442383
Degus,Circularblur,7.5,Degus_circularBlur_7_5.png,SSIM,SSIM_skimage,0.49972567108813776
