Picture,DistortionType,DistortionValue,Filename,LPIPS
Degus,Blur,0.0,Degus_blur_0.bmp,0.0
Degus,Blur,100.0,Degus_blur_100_0.png,0.7914465665817261
Degus,Blur,10.0,Degus_blur_10_0.png,0.3655588626861572
Degus,Blur,1.0,Degus_blur_1_0.png,0.0008870666497386992
Degus,Blur,2.0,Degus_blur_2_0.png,0.011516529135406017
Degus,Blur,5.0,Degus_blur_5_0.png,0.16062688827514648
Degus,Brightness,0.0,Degus_brightness_0.bmp,0.0
Degus,Brightness,1.0,Degus_brightness_1.png,0.0
Degus,Brightness,2.0,Degus_brightness_2.png,0.21043479442596436
Degus,Brightness,20.0,Degus_brightness_20.png,0.7680904865264893
Degus,Brightness,5.0,Degus_brightness_5.png,0.5418863296508789
Degus,Circularblur,0.0,Degus_circularBlur_0.bmp,0.0
Degus,Circularblur,3.0,Degus_circularBlur_3.png,0.004661714192479849
Degus,Circularblur,5.0,Degus_circularBlur_5.png,0.030673593282699585
Degus,Circularblur,7.0,Degus_circularBlur_7.png,0.08158101886510849
Degus,Circularblur,9.0,Degus_circularBlur_9.png,0.1628427803516388
Degus,Dilation,0.0,Degus_dilation_0.bmp,0.0
Degus,Dilation,3.0,Degus_dilation_3.png,0.07622048258781433
Degus,Dilation,5.0,Degus_dilation_5.png,0.14055800437927246
Degus,Dilation,7.0,Degus_dilation_7.png,0.21267753839492798
Degus,Dilation,9.0,Degus_dilation_9.png,0.2735103964805603
Degus,Hole,0.0,Degus_hole_0.bmp,0.0
Degus,Hole,0.05,Degus_hole_0_05.png,0.020119559019804
Degus,Hole,0.1,Degus_hole_0_1.png,0.041860904544591904
Degus,Hole,0.15,Degus_hole_0_15.png,0.06647222489118576
Degus,Hole,0.2,Degus_hole_0_2.png,0.09790362417697906
Degus,Noise,0.0,Degus_noise_0.bmp,0.0
Degus,Noise,0.01,Degus_noise_0_01.png,0.00011966644524363801
Degus,Noise,0.05,Degus_noise_0_05.png,0.00011782919318648055
Degus,Noise,0.1,Degus_noise_0_1.png,0.00012620099005289376
Degus,Noise,0.25,Degus_noise_0_25.png,0.00011706261284416541
Degus,Rotate,0.0,Degus_rotate_0.bmp,0.0
Degus,Rotate,1.0,Degus_rotate_1.png,0.07703271508216858
Degus,Rotate,10.0,Degus_rotate_10.png,0.32353436946868896
Degus,Rotate,2.0,Degus_rotate_2.png,0.11008480191230774
Degus,Rotate,5.0,Degus_rotate_5.png,0.19782620668411255
Degus,Saturation,0.0,Degus_saturation_0.bmp,0.0
Degus,Saturation,1.1,Degus_saturation_1_1.png,0.006797295995056629
Degus,Saturation,1.5,Degus_saturation_1_5.png,0.0679728090763092
Degus,Saturation,2.0,Degus_saturation_2.png,0.10854767262935638
Degus,Saturation,5.0,Degus_saturation_5.png,0.1621326357126236
Degus,Shift,0.0,Degus_shift_0.bmp,0.0
Degus,Shift,1.0,Degus_shift_1.png,0.005302091594785452
Degus,Shift,10.0,Degus_shift_10.png,0.10078407824039459
Degus,Shift,2.0,Degus_shift_2.png,0.01924198679625988
Degus,Shift,5.0,Degus_shift_5.png,0.06255412101745605
Hotdog,Blur,0.0,Hotdog_blur_0.bmp,0.0
Hotdog,Blur,100.0,Hotdog_blur_100_0.png,0.7397469282150269
