image_id,distortion_id,psnr_skimage,psnr_sewar,psnr_manual
01,01,21.01569,21.01569,28.506266
01,02,21.230756,21.230756,28.667239
01,03,21.021988,21.021988,28.506888
01,04,20.954479,20.954479,29.160702
01,05,15.016675,15.016675,27.945046
01,06,20.991327,20.991327,39.582281
01,07,21.129663,21.129663,28.343802
01,08,21.083277,21.083277,29.159534
01,09,21.0453,21.0453,28.650308
01,10,20.900075,20.900075,28.709107
01,11,21.062764,21.062764,28.867598
01,12,21.312368,21.312368,29.28875
01,13,20.78167,20.78167,29.983928
01,14,23.564366,23.564366,36.789989
01,15,24.336972,24.336972,47.707859
01,16,16.270943,16.270943,29.767218
01,17,21.960901,21.960901,28.661458
01,18,20.992544,20.992544,29.637552
01,19,21.004096,21.004096,28.939554
01,20,20.949562,20.949562,28.999224
01,21,21.008348,21.008348,28.598461
01,22,20.813911,20.813911,28.324962
01,23,20.616751,20.616751,29.422987
01,24,20.928316,20.928316,28.794747
02,01,21.278266,21.278266,28.518096
02,02,21.705641,21.705641,28.69349
02,03,21.305867,21.305867,28.537827
02,04,20.997419,20.997419,29.441824
02,05,15.646088,15.646088,27.958876
02,06,19.411161,19.411161,39.602316
02,07,21.210528,21.210528,28.270808
02,08,26.023681,26.023681,31.956351
02,09,21.844617,21.844617,28.39794
02,10,25.120904,25.120904,30.194847
02,11,21.336268,21.336268,28.866005
02,12,20.382937,20.382937,29.933325
02,13,21.220434,21.220434,31.500522
02,14,28.021842,28.021842,37.791067
02,15,24.700368,24.700368,47.519656
02,16,16.936927,16.936927,29.123812
02,17,19.523923,19.523923,27.448621
02,18,21.020217,21.020217,27.534978
02,19,20.984089,20.984089,29.65088
02,20,21.041437,21.041437,29.181816
02,21,21.009088,21.009088,28.358433
02,22,20.540336,20.540336,29.752216
02,23,21.185463,21.185463,30.491421
02,24,21.141291,21.141291,29.200077
03,01,21.184446,21.184446,28.568002
03,02,21.50845,21.50845,28.744833
03,03,21.215388,21.215388,28.586619
03,04,21.106963,21.106963,30.975243
03,05,15.317474,15.317474,28.023491
03,06,20.056811,20.056811,39.563245
03,07,21.102779,21.102779,28.31332
03,08,26.416927,26.416927,33.019156
03,09,22.966543,22.966543,29.154164
03,10,23.459236,23.459236,29.101681
03,11,21.113634,21.113634,28.989709
03,12,20.556926,20.556926,31.150391
03,13,20.569811,20.569811,28.547689
03,14,28.219856,28.219856,38.898764
03,15,25.110603,25.110603,47.885834
03,16,16.561304,16.561304,29.66478
03,17,20.021229,20.021229,28.720569
03,18,21.004996,21.004996,29.879623
03,19,21.002076,21.002076,29.256438
03,20,21.008088,21.008088,29.608795
03,21,21.018281,21.018281,28.507296
03,22,21.456033,21.456033,29.642512
03,23,21.016909,21.016909,31.414229
03,24,21.008675,21.008675,29.148483
04,01,21.079565,21.079565,28.512521
04,02,21.305232,21.305232,28.682849
04,03,21.081528,21.081528,28.530918
04,04,20.857687,20.857687,29.519634
04,05,15.17466,15.17466,27.967055
04,06,20.469976,20.469976,39.56561
04,07,20.696933,20.696933,28.267956
04,08,27.391273,27.391273,32.466624
04,09,24.036209,24.036209,29.359442
04,10,22.871697,22.871697,28.651152
04,11,20.996593,20.996593,28.825843
04,12,21.532944,21.532944,30.427264
04,13,20.885133,20.885133,28.942433
04,14,29.813622,29.813622,37.896532
04,15,25.270213,25.270213,47.976962
04,16,16.426438,16.426438,29.533743
04,17,21.695984,21.695984,28.62085
04,18,20.987196,20.987196,28.386008
04,19,20.985691,20.985691,29.060061
04,20,20.946468,20.946468,28.949779
04,21,21.093252,21.093252,28.514878
04,22,20.033504,20.033504,28.262917
04,23,20.819639,20.819639,29.340909
04,24,20.930101,20.930101,29.060847
05,01,21.285308,21.285308,28.545078
05,02,21.515319,21.515319,28.719201
05,03,21.287909,21.287909,28.568203
05,04,21.057989,21.057989,29.272237
05,05,15.556922,15.556922,28.004684
05,06,19.544428,19.544428,39.549194
05,07,21.017485,21.017485,28.238883
05,08,18.98782,18.98782,28.914591
05,09,18.688433,18.688433,28.227637
05,10,20.009049,20.009049,28.590861
05,11,21.030671,21.030671,28.95974
05,12,20.129808,20.129808,29.9675
05,13,20.823882,20.823882,28.646891
05,14,20.228996,20.228996,36.870241
05,15,23.77464,23.77464,47.770586
05,16,16.836836,16.836836,29.257675
05,17,19.232871,19.232871,28.345517
05,18,20.985301,20.985301,30.229075
05,19,21.013473,21.013473,29.536705
05,20,21.030327,21.030327,29.017992
05,21,20.914088,20.914088,28.562332
05,22,21.253478,21.253478,28.680923
05,23,21.214789,21.214789,31.877038
05,24,21.045761,21.045761,29.002651
06,01,21.180164,21.180164,28.633023
06,02,21.32989,21.32989,28.790432
06,03,21.203402,21.203402,28.650167
06,04,21.214693,21.214693,29.713745
06,05,15.26027,15.26027,28.084485
06,06,20.194776,20.194776,39.603981
06,07,21.326301,21.326301,28.0895
06,08,20.977523,20.977523,29.620116
06,09,20.381842,20.381842,28.407305
06,10,21.17498,21.17498,28.907466
06,11,21.05427,21.05427,29.2622
06,12,21.04589,21.04589,30.513484
06,13,20.882379,20.882379,29.129811
06,14,22.838958,22.838958,36.932253
06,15,23.758016,23.758016,47.3835
06,16,16.163945,16.163945,29.935642
06,17,18.496027,18.496027,28.40041
06,18,21.024785,21.024785,29.107325
06,19,20.992781,20.992781,29.019037
06,20,20.953226,20.953226,29.343809
06,21,20.958981,20.958981,28.47506
06,22,21.929831,21.929831,28.38427
06,23,20.918953,20.918953,29.836165
06,24,21.006921,21.006921,29.273746
07,01,21.060678,21.060678,28.512923
07,02,21.30159,21.30159,28.675052
07,03,21.074081,21.074081,28.53025
07,04,20.986416,20.986416,29.877474
07,05,15.116591,15.116591,27.96595
07,06,20.682331,20.682331,39.581847
07,07,21.455505,21.455505,28.445492
07,08,22.65628,22.65628,30.25219
07,09,22.660574,22.660574,29.318122
07,10,22.8561,22.8561,28.972877
07,11,20.931878,20.931878,28.881996
07,12,21.002628,21.002628,30.416737
07,13,21.239155,21.239155,28.718926
07,14,25.051372,25.051372,37.629543
07,15,24.571742,24.571742,47.746951
07,16,16.354935,16.354935,29.723464
07,17,21.122891,21.122891,28.482486
07,18,21.012773,21.012773,30.216727
07,19,21.000091,21.000091,29.0219
07,20,20.979254,20.979254,29.343302
07,21,20.925387,20.925387,28.580671
07,22,20.952547,20.952547,28.899565
07,23,21.160958,21.160958,30.429493
07,24,20.954905,20.954905,28.876075
08,01,21.207548,21.207548,28.61581
08,02,21.352655,21.352655,28.781826
08,03,21.191272,21.191272,28.618202
08,04,21.196717,21.196717,29.626931
08,05,15.343661,15.343661,28.067975
08,06,19.940786,19.940786,39.587191
08,07,21.458315,21.458315,28.236805
08,08,17.965368,17.965368,28.986942
08,09,19.329733,19.329733,28.407518
08,10,20.386788,20.386788,28.758579
08,11,20.966768,20.966768,29.133121
08,12,21.69231,21.69231,34.483763
08,13,21.002048,21.002048,29.087401
08,14,19.975025,19.975025,36.931561
08,15,25.559894,25.559894,47.61068
08,16,16.194057,16.194057,29.855349
08,17,18.008872,18.008872,28.030891
08,18,20.980207,20.980207,29.467659
08,19,20.99593,20.99593,29.095495
08,20,21.030854,21.030854,29.049772
08,21,21.04623,21.04623,28.602102
08,22,21.220862,21.220862,29.025374
08,23,20.900832,20.900832,32.217362
08,24,21.014859,21.014859,29.211459
09,01,20.995862,20.995862,28.511881
09,02,21.162579,21.162579,28.678432
09,03,20.999141,20.999141,28.520472
09,04,21.207451,21.207451,30.807162
09,05,15.044977,15.044977,27.964231
09,06,20.86573,20.86573,39.586451
09,07,21.59359,21.59359,28.760957
09,08,22.646853,22.646853,31.432438
09,09,23.161899,23.161899,29.250192
09,10,23.351583,23.351583,29.32042
09,11,21.003447,21.003447,29.293094
09,12,21.107917,21.107917,30.757725
09,13,20.750281,20.750281,28.961026
09,14,24.438941,24.438941,37.956369
09,15,24.838514,24.838514,47.606358
09,16,16.166896,16.166896,29.957445
09,17,20.443483,20.443483,28.156463
