image_id,distortion_id,ssim_skimage,ssim_sewar,ssi_m_pil
01,01,0.547458,0.602614,0.550749
01,02,0.575718,0.626937,0.579011
01,03,0.574985,0.614562,0.577949
01,04,0.655779,0.69638,0.650584
01,05,0.281034,0.320927,0.283801
01,06,0.606414,0.622159,0.609165
01,07,0.639176,0.678274,0.638613
01,08,0.344859,0.383564,0.349029
01,09,0.372909,0.392641,0.375601
01,10,0.495695,0.550181,0.494265
01,11,0.346522,0.370157,0.350727
01,12,0.486729,0.543697,0.490352
01,13,0.700608,0.738507,0.702218
01,14,0.84308,0.832299,0.843129
01,15,0.987072,0.984899,0.98701
01,16,0.81012,0.818287,0.809654
01,17,0.818329,0.811604,0.818005
01,18,0.941231,0.940437,0.941142
01,19,0.59236,0.641177,0.595935
01,20,0.380429,0.466269,0.380491
01,21,0.463508,0.52362,0.466454
01,22,0.52469,0.569091,0.528726
01,23,0.366171,0.395754,0.365922
01,24,0.363501,0.38839,0.370486
02,01,0.307966,0.348243,0.309878
02,02,0.347094,0.387887,0.349156
02,03,0.334538,0.360983,0.336388
02,04,0.444438,0.474226,0.444035
02,05,0.12685,0.149812,0.127811
02,06,0.358489,0.322192,0.359114
02,07,0.486244,0.495988,0.487283
02,08,0.616887,0.624296,0.614032
02,09,0.53932,0.518489,0.540972
02,10,0.575023,0.568183,0.577254
02,11,0.502155,0.444658,0.505621
02,12,0.382299,0.372936,0.391161
02,13,0.628573,0.641161,0.626016
02,14,0.877592,0.868023,0.879445
02,15,0.986675,0.983678,0.988606
02,16,0.503406,0.508617,0.504213
02,17,0.824535,0.81454,0.825157
02,18,0.919938,0.918853,0.92007
02,19,0.484476,0.519394,0.485692
02,20,0.020367,-0.011029,0.021295
02,21,0.290564,0.307119,0.293605
02,22,0.531651,0.493254,0.533678
02,23,0.528228,0.471418,0.531311
02,24,0.511141,0.451204,0.515956
03,01,0.255492,0.296738,0.25798
03,02,0.289674,0.330199,0.292397
03,03,0.280679,0.308209,0.28352
03,04,0.574629,0.603121,0.57682
03,05,0.109064,0.136342,0.109921
03,06,0.328874,0.297434,0.331638
03,07,0.632804,0.62747,0.636235
03,08,0.761358,0.781274,0.751777
03,09,0.677287,0.660029,0.680818
03,10,0.664943,0.656574,0.666976
03,11,0.641202,0.587313,0.642897
03,12,0.557357,0.564263,0.565665
03,13,0.325599,0.299497,0.330388
03,14,0.914232,0.912633,0.915926
03,15,0.987397,0.984543,0.988885
03,16,0.678871,0.681971,0.681989
03,17,0.861722,0.850596,0.86288
03,18,0.92231,0.917318,0.923354
03,19,0.361683,0.399126,0.362381
03,20,0.352839,0.336476,0.360024
03,21,0.284765,0.312841,0.287843
03,22,0.511635,0.524528,0.513428
03,23,0.664805,0.629472,0.666829
03,24,0.628958,0.569234,0.636037
04,01,0.26508,0.31041,0.269386
04,02,0.303745,0.348791,0.307178
04,03,0.290227,0.321328,0.294297
04,04,0.428656,0.472959,0.428082
04,05,0.101239,0.125919,0.103309
04,06,0.355061,0.330831,0.36137
04,07,0.536442,0.524061,0.540016
04,08,0.721891,0.744677,0.717035
04,09,0.645517,0.635198,0.648447
04,10,0.58217,0.574032,0.582299
04,11,0.577942,0.519211,0.577636
04,12,0.487141,0.509255,0.494738
04,13,0.351431,0.364787,0.356686
04,14,0.897558,0.895918,0.898253
04,15,0.987169,0.983832,0.987124
04,16,0.700495,0.707287,0.700995
04,17,0.86786,0.855006,0.868322
04,18,0.927903,0.924469,0.924004
04,19,0.358668,0.398049,0.36233
04,20,0.143522,0.128408,0.147872
04,21,0.318679,0.339981,0.321114
04,22,0.453572,0.441425,0.454563
04,23,0.580213,0.518829,0.580339
04,24,0.585664,0.526282,0.586498
05,01,0.619543,0.704581,0.617672
05,02,0.642873,0.722494,0.641158
05,03,0.637092,0.711269,0.634661
05,04,0.740798,0.805823,0.739543
05,05,0.371771,0.44914,0.369987
05,06,0.610828,0.653589,0.609442
05,07,0.662577,0.730821,0.661052
05,08,0.409955,0.48887,0.407482
05,09,0.435916,0.490344,0.438013
05,10,0.569062,0.644268,0.567909
05,11,0.587151,0.666426,0.58576
05,12,0.612851,0.679728,0.617274
05,13,0.58024,0.659757,0.577213
05,14,0.846135,0.839084,0.8473
05,15,0.987116,0.985536,0.986105
05,16,0.657072,0.687331,0.658942
05,17,0.787855,0.783673,0.788955
05,18,0.922833,0.920422,0.922212
05,19,0.705435,0.769306,0.702364
05,20,0.603186,0.692715,0.603313
05,21,0.568669,0.655928,0.565266
05,22,0.674504,0.738984,0.67229
05,23,0.735253,0.773311,0.737833
05,24,0.57177,0.650585,0.572365
06,01,0.509352,0.554654,0.510107
06,02,0.540767,0.582879,0.541432
06,03,0.538531,0.567154,0.538846
06,04,0.697271,0.731128,0.69892
06,05,0.260994,0.295672,0.262772
06,06,0.550556,0.551559,0.550518
06,07,0.690076,0.71384,0.695397
06,08,0.411264,0.447602,0.409614
06,09,0.433141,0.444339,0.440063
06,10,0.544889,0.57737,0.552924
06,11,0.387651,0.399673,0.3981
06,12,0.557857,0.58668,0.565467
06,13,0.518463,0.559618,0.5249
06,14,0.848513,0.841426,0.848697
06,15,0.987433,0.984744,0.987078
06,16,0.861361,0.867493,0.864004
06,17,0.833322,0.826775,0.834965
06,18,0.965629,0.963881,0.96597
06,19,0.560416,0.599192,0.558081
06,20,0.414253,0.473661,0.426597
06,21,0.486167,0.529128,0.493194
06,22,0.624955,0.653099,0.629457
06,23,0.422528,0.445537,0.431878
06,24,0.383083,0.391388,0.391093
07,01,0.433292,0.508413,0.434764
